timestamp,elapsed_sec,sum_next_o_id
2026-04-25 17:46:23,364,33038258
2026-04-25 17:46:25,366,33042385
2026-04-25 17:46:26,367,33046493
2026-04-25 17:46:27,368,33050665
2026-04-25 17:46:28,369,33054782
2026-04-25 17:46:29,370,33058897
2026-04-25 17:46:30,371,33063125
2026-04-25 17:46:32,373,33067042
2026-04-25 17:46:33,374,33071067
2026-04-25 17:46:34,375,33075194
2026-04-25 17:46:35,376,33079262
2026-04-25 17:46:36,377,33083245
2026-04-25 17:46:38,379,33087361
2026-04-25 17:46:39,380,33091369
2026-04-25 17:46:40,381,33095342
2026-04-25 17:46:41,382,33099199
2026-04-25 17:46:42,383,33103041
2026-04-25 17:46:44,385,33106963
2026-04-25 17:46:45,386,33110955
2026-04-25 17:46:46,387,33115069
2026-04-25 17:46:47,388,33118841
2026-04-25 17:46:48,389,33122654
2026-04-25 17:46:50,391,33126653
2026-04-25 17:46:51,392,33130752
2026-04-25 17:46:52,393,33134931
2026-04-25 17:46:53,394,33139085
2026-04-25 17:46:54,395,33143284
2026-04-25 17:46:56,397,33147497
2026-04-25 17:46:57,398,33151712
2026-04-25 17:46:58,399,33155891
2026-04-25 17:46:59,400,33160122
2026-04-25 17:47:01,402,33163936
2026-04-25 17:47:02,403,33167750
2026-04-25 17:47:03,404,33171505
2026-04-25 17:47:04,405,33175328
2026-04-25 17:47:05,406,33179141
2026-04-25 17:47:07,408,33183077
2026-04-25 17:47:08,409,33186919
2026-04-25 17:47:09,410,33190834
2026-04-25 17:47:10,411,33194631
2026-04-25 17:47:11,412,33198504
2026-04-25 17:47:13,414,33202456
2026-04-25 17:47:14,415,33206346
2026-04-25 17:47:15,416,33210240
2026-04-25 17:47:16,417,33214205
2026-04-25 17:47:17,418,33218118
2026-04-25 17:47:19,420,33222071
2026-04-25 17:47:20,421,33226013
2026-04-25 17:47:21,422,33229773
2026-04-25 17:47:22,423,33233544
2026-04-25 17:47:23,424,33237109
2026-04-25 17:47:25,426,33241011
2026-04-25 17:47:26,427,33244288
2026-04-25 17:47:27,428,33247509
2026-04-25 17:47:28,429,33250844
2026-04-25 17:47:29,430,33254226
2026-04-25 17:47:30,431,33257583
2026-04-25 17:47:31,432,33261101
2026-04-25 17:47:33,434,33264592
2026-04-25 17:47:34,435,33268333
2026-04-25 17:47:35,436,33272040
2026-04-25 17:47:36,437,33275672
2026-04-25 17:47:37,438,33279257
2026-04-25 17:47:39,440,33282834
2026-04-25 17:47:40,441,33286412
2026-04-25 17:47:41,442,33289976
2026-04-25 17:47:42,443,33293588
2026-04-25 17:47:43,444,33297220
2026-04-25 17:47:45,446,33300847
2026-04-25 17:47:46,447,33304467
2026-04-25 17:47:47,448,33308017
2026-04-25 17:47:48,449,33311599
2026-04-25 17:47:49,450,33315153
2026-04-25 17:47:51,452,33318851
2026-04-25 17:47:52,453,33322537
2026-04-25 17:47:53,454,33326204
2026-04-25 17:47:54,455,33330120
2026-04-25 17:47:55,456,33334140
2026-04-25 17:47:57,458,33338254
2026-04-25 17:47:58,459,33342386
2026-04-25 17:47:59,460,33346502
2026-04-25 17:48:00,461,33350665
2026-04-25 17:48:01,462,33354877
2026-04-25 17:48:03,464,33359103
2026-04-25 17:48:04,465,33363419
2026-04-25 17:48:05,466,33367697
2026-04-25 17:48:06,467,33371909
2026-04-25 17:48:07,468,33376148
2026-04-25 17:48:08,469,33380327
2026-04-25 17:48:10,471,33384536
2026-04-25 17:48:11,472,33388663
2026-04-25 17:48:12,473,33393026
2026-04-25 17:48:13,474,33397258
2026-04-25 17:48:14,475,33401356
2026-04-25 17:48:16,477,33405586
2026-04-25 17:48:17,478,33409821
2026-04-25 17:48:18,479,33414173
2026-04-25 17:48:19,480,33418425
2026-04-25 17:48:20,481,33422569
2026-04-25 17:48:22,483,33426814
2026-04-25 17:48:23,484,33431050
2026-04-25 17:48:24,485,33435165
2026-04-25 17:48:25,486,33439431
2026-04-25 17:48:26,487,33443670
2026-04-25 17:48:28,489,33447873
2026-04-25 17:48:29,490,33452078
2026-04-25 17:48:30,491,33456284
2026-04-25 17:48:31,492,33460516
2026-04-25 17:48:32,493,33464801
2026-04-25 17:48:34,495,33469006
2026-04-25 17:48:35,496,33473204
2026-04-25 17:48:36,497,33477429
2026-04-25 17:48:37,498,33481645
2026-04-25 17:48:38,499,33485932
2026-04-25 17:48:39,500,33490198
2026-04-25 17:48:41,502,33494437
2026-04-25 17:48:42,503,33498728
2026-04-25 17:48:43,504,33502966
2026-04-25 17:48:44,505,33507146
2026-04-25 17:48:45,506,33511388
2026-04-25 17:48:47,508,33515521
2026-04-25 17:48:48,509,33519777
2026-04-25 17:48:49,510,33523973
